ts,profile,provider,gpu_model,bid_price_uact_per_block,chosen
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash15tl6v6gd0nte0syyxnv57zmmspgju4c3xfmdhk,,2.954114,True
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash16yr3wxt97ae045a06kr3ycde9srcgpg8syjxxm,,2.954114,False
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash1s3hq36mpas4nmkqasn7fgwhs9968cgl3u5esnw,,2.959929,False
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash19zzh7whjt4vfwxd5wtj3tjtyatnpntfhldshd8,,4.826603,False
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash1ggfvyhr9sar4uxjs4hth3p4kzrwk7lysnenj3g,,4.826603,False
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash1cg7nnkwy8yzulr6x5egn7n06pgthz5wu5auvvv,,5.466273,False
2026-08-30T14:55:18.434847+00:00,cpu-micro,akash1aaul837r7en7hpk9wv2svg8u78fdq0t2j2e82z,,18.0,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash15tl6v6gd0nte0syyxnv57zmmspgju4c3xfmdhk,,2.954114,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash16yr3wxt97ae045a06kr3ycde9srcgpg8syjxxm,,2.954114,True
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash1s3hq36mpas4nmkqasn7fgwhs9968cgl3u5esnw,,3.384786,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash1ggfvyhr9sar4uxjs4hth3p4kzrwk7lysnenj3g,,4.826603,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash1cg7nnkwy8yzulr6x5egn7n06pgthz5wu5auvvv,,5.466273,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash1z9nr23cgweu45g2jktfx95v7g2xp8qlsa3ys2x,,7.0,False
2026-09-02T00:20:39.707788+00:00,cpu-micro,akash1aaul837r7en7hpk9wv2svg8u78fdq0t2j2e82z,,24.0,False
2026-09-02T07:03:17.670373+00:00,cpu-heavy,akash1s3hq36mpas4nmkqasn7fgwhs9968cgl3u5esnw,,44.70667,False
2026-09-02T07:03:17.670373+00:00,cpu-heavy,akash1hgulk6aekakqzc0v6wukrd3dy9n90f5gkl4ezk,,46.0,True
2026-09-02T07:03:17.670373+00:00,cpu-heavy,akash1aaul837r7en7hpk9wv2svg8u78fdq0t2j2e82z,,47.0,False
2026-09-02T07:03:17.670373+00:00,cpu-heavy,akash1dudfnsqwfecytfqxwvnfc7eqc5ca429zfkhwyd,,50.568841,False
2026-09-02T07:03:17.670373+00:00,cpu-heavy,akash1k94uya5rhrtj9rfw850az9aq2d6vdpjmtnlgd0,,70.921986,False
2026-09-02T14:22:49.336745+00:00,gpu,akash15tl6v6gd0nte0syyxnv57zmmspgju4c3xfmdhk,t4,191.877816,False
2026-09-02T14:22:49.336745+00:00,gpu,akash1al463a2f6jvf506e73hx0329fwgwz66r7cpkhr,rtx5090,1194.415562,True
2026-09-02T14:22:49.336745+00:00,gpu,akash1uezxmc39c9uky9plqdvmnzp7yfwpyamjtq9g2w,pro6000se,3400.696426,False
2026-09-02T14:22:49.336745+00:00,gpu,akash17r6r9u364t49k7qdef52qtm6wm5mcn0lpzfgnv,h100,3402.347706,False
2026-09-02T14:22:49.336745+00:00,gpu,akash1svfr9xarfkcxwdnx32nvl8cs9rfruu4nd56c4f,h100,4265.995827,False
2026-09-02T14:22:49.336745+00:00,gpu,akash17erkmem6xcugfnew2c0ujfqtet32j29ztk03jt,h100,5268.533573,False
2026-09-02T20:57:52.906702+00:00,cpu-micro,akash1cg7nnkwy8yzulr6x5egn7n06pgthz5wu5auvvv,,5.466273,True
2026-09-03T00:06:15.561724+00:00,cpu-heavy,akash19tp6w64zvdvdh26pv5lyf4f40llnqthgfy0t48,,46.0,True
2026-09-03T00:06:15.561724+00:00,cpu-heavy,akash1hgulk6aekakqzc0v6wukrd3dy9n90f5gkl4ezk,,46.0,False
2026-09-03T00:06:15.561724+00:00,cpu-heavy,akash1aaul837r7en7hpk9wv2svg8u78fdq0t2j2e82z,,47.0,False
2026-09-03T00:06:15.561724+00:00,cpu-heavy,akash1dudfnsqwfecytfqxwvnfc7eqc5ca429zfkhwyd,,50.568841,False
2026-09-03T00:06:15.561724+00:00,cpu-heavy,akash1k94uya5rhrtj9rfw850az9aq2d6vdpjmtnlgd0,,70.921986,False
2026-09-03T00:06:15.561724+00:00,cpu-heavy,akash1rja3y2ctj3tzmesvh0zfhzzx95rfjw405hwt8d,,84.915645,False
2026-09-03T00:06:15.561724+00:00,cpu-heavy,akash16yr3wxt97ae045a06kr3ycde9srcgpg8syjxxm,,89.902747,False
2026-09-03T00:06:15.561724+00:00,cpu-heavy,akash1cg7nnkwy8yzulr6x5egn7n06pgthz5wu5auvvv,,168.756644,False
2026-09-03T07:07:19.813682+00:00,gpu,akash15tl6v6gd0nte0syyxnv57zmmspgju4c3xfmdhk,t4,191.877816,False
2026-09-03T07:07:19.813682+00:00,gpu,akash16yr3wxt97ae045a06kr3ycde9srcgpg8syjxxm,rtx6000,284.920762,False
2026-09-03T07:07:19.813682+00:00,gpu,akash1al463a2f6jvf506e73hx0329fwgwz66r7cpkhr,rtx5090,1194.415562,False
2026-09-03T07:07:19.813682+00:00,gpu,akash1uezxmc39c9uky9plqdvmnzp7yfwpyamjtq9g2w,pro6000se,3400.696426,True
2026-09-03T07:07:19.813682+00:00,gpu,akash17r6r9u364t49k7qdef52qtm6wm5mcn0lpzfgnv,h100,3402.347706,False
